experiment,pulse_no, ,on time,2 min too early,1 min too early,1 min too late,2 min too late,previous_pulse_length
min3_mean20,1,,0.028683181225554105,,0.002617801047120419,0.010430247718383311,0.01108213820078227,6.0
min3_mean20,2,,0.8367346938775511,0.0024783147459727386,0.07977736549165121,0.039579468150896725,0.0,68.0
min3_mean20,3,,0.008039579468150896,0.039579468150896725,0.0,0.010513296227581941,0.012368583797155226,3.0
min3_mean20,4,,0.8416918429003021,0.009702850212249849,0.05740181268882175,0.062235649546827795,0.0036253776435045317,27.0
min3_mean20,5,,0.7987051206592113,0.013593380614657211,0.09123013537374926,0.03884638022366098,0.00529723366686286,32.0
min3_mean20,6,,0.8302217036172695,0.026254375729288213,0.050175029171528586,0.07001166861143523,0.011085180863477246,22.0
min3_mean20,7,,0.8812785388127854,0.008013737836290785,0.05495134516313681,0.0228310502283105,0.0,61.0
min3_mean20,8,,0.005119453924914676,0.0,0.00228310502283105,0.01478953356086462,0.003981797497155859,4.0
min3_mean20,9,,0.7553551296505073,0.03389830508474576,0.04284103720405862,0.14205186020293123,0.009019165727170236,16.0
min3_mean20,10,,0.8491620111731844,0.016201117318435754,0.025139664804469275,0.08435754189944134,0.00558659217877095,20.0
min3_mean20,11,,0.8457738748627881,0.006087437742114001,0.061258278145695365,0.0433589462129528,0.003293084522502744,45.0
min3_mean20,12,,0.8488434642280797,0.005408328826392645,0.06885422270037654,0.03173749327595481,0.0010758472296933835,44.0
min3_mean20,13,,0.1429339065018807,0.012910166756320602,0.016657710908113917,0.055346587855991405,0.008060182697474477,8.0
min3_mean20,14,,0.8229056203605515,0.01007423117709438,0.08112407211028633,0.03499469777306469,0.0015906680805938495,36.0
min3_mean20,15,,0.007953340402969246,0.009013785790031814,0.004772004241781549,0.017497348886532343,0.008483563096500531,5.0
min3_mean20,16,,0.019618239660657476,0.017497348886532343,0.008483563096500531,0.012195121951219513,0.008483563096500531,3.0
min3_mean20,17,,0.5461293743372216,0.0010604453870625664,0.021208907741251327,0.1728525980911983,0.016436903499469777,9.0
min3_mean20,18,,0.8136743215031316,0.015657620041753653,0.05688935281837161,0.05793319415448852,0.0041753653444676405,25.0
min3_mean20,19,,0.8429793658782083,0.007575757575757576,0.05686965274282838,0.042778057372924005,0.003019627579265224,70.0
min3_mean20,20,,0.807,0.005,0.051,0.0425,0.004,35.0
min3_mean20,21,,0.784,0.0385,0.0735,0.074,0.013,21.0
min3_mean20,22,,0.01,0.074,0.013,0.004,0.0075,3.0
min3_mean20,23,,0.773,0.0385,0.061,0.0945,0.015,19.0
min3_mean20,24,,0.8045,0.009,0.055,0.0465,0.0075,54.0
min3_mean20,25,,0.7725,0.034,0.064,0.081,0.0145,18.0
min3_mean20,26,,0.7505,0.015,0.0505,0.0995,0.0155,15.0
min3_mean20,27,,0.753,0.0205,0.084,0.0485,0.0085,35.0
min3_mean20,28,,0.7115,0.051,0.086,0.0915,0.0115,19.0
min3_mean20,29,,0.0075,0.0915,0.0115,0.0095,0.008,3.0
min3_mean20,30,,0.5,0.0105,0.025,0.1405,0.02,10.0
min3_mean20,31,,0.7045,0.05,0.0515,0.112,0.012,17.0
min3_mean20,32,,0.667,0.011,0.0525,0.1075,0.0145,13.0
min3_mean20,33,,0.021,0.0095,0.0075,0.022,0.0075,5.0
min3_mean20,34,,0.6335,0.0195,0.052,0.1365,0.021,12.0
min3_mean20,35,,0.048,0.0115,0.0135,0.037,0.0155,6.0
min3_mean20,36,,0.451,0.013,0.043,0.145,0.0205,9.0
min3_mean20,37,,0.7234791352438411,0.026143790849673203,0.08396178984414278,0.05379587732528909,0.007541478129713424,36.0
min3_mean20,38,,0.735778841041999,0.021796916533758637,0.06432748538011696,0.05688463583200425,0.006379585326953748,104.0
min3_mean20,39,,0.009037745879851143,0.05688463583200425,0.006379585326953748,0.006911217437533227,0.011164274322169059,3.0
min3_mean20,40,,0.4227027027027027,0.01783783783783784,0.04108108108108108,0.10972972972972973,0.012972972972972972,10.0
min3_mean20,41,,0.041237113402061855,0.010309278350515464,0.017905588714053174,0.019042437431991296,0.012513601741022852,5.0
min3_mean20,42,,0.7038058466629895,0.059018201875344733,0.03861003861003861,0.09376723662437948,0.018753447324875896,19.0
min3_mean20,43,,0.58595909342178,0.017689331122166942,0.06301824212271974,0.10060807075732449,0.013819789939192924,12.0
min3_mean20,44,,0.6133333333333333,0.013888888888888888,0.05388888888888889,0.11722222222222223,0.017777777777777778,12.0
min3_mean20,45,,0.6546883773161145,0.044918585064570464,0.07692307692307693,0.05446378439079169,0.017967434025828188,28.0
min3_mean20,46,,0.6771476698483998,0.056709713644020214,0.10443571027512634,0.06850084222346996,0.011229646266142616,21.0
min3_mean20,47,,0.0067605633802816905,0.06873239436619719,0.011267605633802818,0.007887323943661971,0.012957746478873239,3.0
min3_mean20,48,,0.7053775743707094,0.05835240274599542,0.05491990846681922,0.08237986270022883,0.01722158438576349,19.0
min3_mean20,49,,0.655152224824356,0.027517564402810304,0.08372365339578454,0.05269320843091335,0.002927400468384075,31.0
min3_mean20,50,,0.7227912932138284,0.01856594110115237,0.08322663252240717,0.04033290653008963,0.006430868167202572,96.0
min3_mean20,51,,0.08349514563106795,0.021359223300970873,0.02394822006472492,0.036893203883495145,0.015533980582524271,8.0
min3_mean20,52,,0.7188346883468835,0.024390243902439025,0.08401084010840108,0.04539295392953929,0.0047425474254742545,53.0
min3_mean20,53,,0.6528640441683919,0.07108350586611456,0.09178743961352658,0.05037957211870255,0.017943409247757072,22.0
min3_mean20,54,,0.029675638371290544,0.004830917874396135,0.01518288474810214,0.008971704623878536,0.004851004851004851,6.0
min3_mean20,55,,0.059274755927475595,0.016736401673640166,0.016736401673640166,0.029288702928870293,0.012552301255230125,6.0
min3_mean20,56,,0.4474789915966387,0.015406162464985995,0.062324929971988796,0.16396903589021816,0.01688951442646024,11.0
min3_mean20,57,,0.6429587482219061,0.03485064011379801,0.11095305832147938,0.07851534618129907,0.023554603854389723,22.0
min3_mean20,58,,0.005710206995003569,0.07851534618129907,0.023554603854389723,0.007137758743754461,0.01284796573875803,3.0
min3_mean20,59,,0.55835734870317,0.03674351585014409,0.07204610951008646,0.12247838616714697,0.016570605187319884,14.0
min3_mean20,60,,0.6812227074235808,0.05240174672489083,0.05458515283842795,0.08997805413313825,0.02121433796634967,19.0
